Club;Nacionalidad;Jugadores;Promedio edad;Promedio Rating;Promedio Altura;Promedio Peso
1. FC Heidenheim;Australia;1;24;66;184;77
1. FC Heidenheim;Austria;1;21;64;177;72
1. FC Heidenheim;Bosnia Herzegovina;1;18;54;193;83
1. FC Heidenheim;Germany;19;24.5789473684211;66.8421052631579;184.631578947368;79.1052631578947
1. FC Heidenheim;Netherlands;1;28;67;187;87
1. FC Heidenheim;Poland;1;18;54;185;80
1. FC Heidenheim;Romania;1;28;68;180;77
1. FC Köln;Denmark;1;24;72;194;88
1. FC Köln;France;2;24.5;76;187;83
1. FC Köln;Germany;17;24.2352941176471;70.2941176470588;183.470588235294;78.5294117647059
1. FC Köln;Japan;1;26;75;182;71
1. FC Köln;Latvia;1;29;73;183;81
1. FC Köln;Poland;1;27;73;184;76
1. FC Köln;Serbia;2;26.5;76;184;81
1. FC Köln;Slovenia;1;30;76;186;85
1. FC Nürnberg;Austria;1;28;73;186;85
1. FC Nürnberg;Cameroon;1;24;72;171;71
1. FC Nürnberg;Czech Republic;1;25;69;186;79
1. FC Nürnberg;Georgia;1;23;66;183;73
1. FC Nürnberg;Germany;14;24.0714285714286;66.5;184.285714285714;80.5714285714286
1. FC Nürnberg;Iceland;1;29;69;184;80
1. FC Nürnberg;Ivory Coast;1;30;72;177;71
1. FC Nürnberg;Kazakhstan;1;25;62;179;73
1. FC Nürnberg;Morocco;1;20;60;186;80
1. FC Nürnberg;Netherlands;1;26;69;190;88
1. FC Nürnberg;Norway;1;28;69;191;90
1. FC Nürnberg;Romania;1;29;67;179;75
1. FC Nürnberg;Slovenia;2;30;69.5;183;75.5
1. FC Nürnberg;Sweden;1;23;69;185;81
1. FSV Mainz 05;Argentina;1;29;77;165;65
1. FSV Mainz 05;Austria;1;25;72;188;85
1. FSV Mainz 05;Brazil;1;25;73;182;78
1. FSV Mainz 05;Colombia;1;23;77;185;85
1. FSV Mainz 05;Croatia;1;19;59;187;81
1. FSV Mainz 05;Denmark;3;27.3333333333333;72.3333333333333;189;83.6666666666667
1. FSV Mainz 05;France;3;24.3333333333333;71;184;81.3333333333333
1. FSV Mainz 05;Germany;13;23.2307692307692;69.3846153846154;185;78.6923076923077
1. FSV Mainz 05;Italy;1;27;75;178;76
1. FSV Mainz 05;Japan;1;24;75;179;72
1. FSV Mainz 05;Kosovo;1;22;68;169;68
1. FSV Mainz 05;Nigeria;1;28;75;190;88
1. FSV Mainz 05;Spain;2;24.5;78.5;171;67
1. FSV Mainz 05;Sweden;1;23;74;184;77
1. FSV Mainz 05;Switzerland;1;28;76;183;77
1860 München;Algeria;1;31;70;181;75
1860 München;Austria;1;31;72;175;74
1860 München;Brazil;3;22.3333333333333;71;177.666666666667;73
1860 München;Cameroon;1;20;59;193;78
1860 München;Croatia;1;37;71;182;85
1860 München;Denmark;1;26;72;185;77
1860 München;France;1;23;65;175;74
1860 München;Germany;12;26.25;67.4166666666667;183.833333333333;79.6666666666667
1860 München;Ghana;1;20;63;175;70
1860 München;Hungary;1;25;65;176;67
1860 München;Kosovo;1;25;69;173;70
1860 München;Montenegro;1;24;67;180;76
1860 München;Poland;1;30;72;191;90
1860 München;Senegal;1;26;75;197;79
1860 München;South Africa;1;27;66;170;65
1899 Hoffenheim;Austria;1;19;54;188;76
1899 Hoffenheim;Bosnia Herzegovina;1;27;76;185;85
1899 Hoffenheim;Brazil;1;25;72;170;72
1899 Hoffenheim;Croatia;1;25;78;177;73
1899 Hoffenheim;Czech Republic;1;24;78;182;81
1899 Hoffenheim;Germany;15;24.4;74.2;184.2;78.4666666666667
1899 Hoffenheim;Hungary;1;29;74;193;87
1899 Hoffenheim;Poland;1;31;77;183;78
1899 Hoffenheim;Switzerland;4;24.75;70;184.5;81.75
A. Minas G.;Brazil;20;30.2;69.9;180.75;76.95
Aalborg BK;Albania;1;20;51;180;70
Aalborg BK;Austria;2;23.5;62;186.5;84.5
Aalborg BK;Denmark;19;23.3684210526316;60.7894736842105;182.526315789474;74.6315789473684
Aalborg BK;Peru;1;22;63;170;68
Aalborg BK;Slovakia;1;28;67;178;78
Aalborg BK;Sweden;1;31;69;190;79
Aalborg BK;Uganda;1;21;57;175;65
Aalesunds FK;Brazil;1;23;59;164;58
Aalesunds FK;Denmark;1;25;67;185;80
Aalesunds FK;Finland;1;25;63;185;81
Aalesunds FK;Iceland;3;21.3333333333333;63.3333333333333;184;77.3333333333333
Aalesunds FK;Netherlands;2;26;68;189.5;79.5
Aalesunds FK;Norway;14;23.0714285714286;58.5714285714286;182.285714285714;76.2857142857143
Aalesunds FK;Sweden;1;20;64;179;82
Aarhus GF;Australia;2;22;66;177.5;74
Aarhus GF;Croatia;1;22;64;174;72
Aarhus GF;Denmark;18;24.7222222222222;60.9444444444444;183.666666666667;77.5
Aarhus GF;Iceland;2;28;67;182;76
Aarhus GF;Russia;1;20;68;185;79
Aarhus GF;Serbia;1;24;62;192;85
Aarhus GF;Sierra Leone;1;20;56;188;79
Aarhus GF;Sweden;1;28;68;186;80
Aberdeen;England;5;24.6;62;182.8;75.2
Aberdeen;Northern Ireland;1;29;71;176;70
Aberdeen;Republic of Ireland;4;25;64.75;179.75;76
Aberdeen;Scotland;13;24.1538461538462;62.3846153846154;178.615384615385;69
Aberdeen;Wales;1;26;66;193;76
AC Ajaccio;Cameroon;1;27;62;190;88
AC Ajaccio;Comoros;1;29;69;186;80
AC Ajaccio;DR Congo;1;24;66;185;85
AC Ajaccio;France;18;25.1666666666667;61.8333333333333;177.888888888889;70.4444444444444
AC Ajaccio;Guinea;1;20;53;180;75
AC Ajaccio;Ivory Coast;1;19;54;180;75
AC Ajaccio;Morocco;1;25;66;184;78
AC Ajaccio;Niger;1;28;73;186;79
AC Ajaccio;Senegal;1;21;65;197;93
AC Horsens;Denmark;17;25.9411764705882;59.0588235294118;185.647058823529;76.4705882352941
AC Horsens;DR Congo;1;25;57;188;85
AC Horsens;Faroe Islands;1;24;66;182;77
AC Horsens;Gambia;1;22;67;183;75
AC Horsens;Ghana;1;22;61;169;68
AC Horsens;Iceland;2;28.5;63;189;82
AC Horsens;United States;2;29;67.5;183;78
Accrington;Afghanistan;1;20;55;177;65
Accrington;Benin;1;31;61;178;70
Accrington;England;20;22.9;57;182.8;73.05
Accrington;Northern Ireland;2;24;62;176.5;73
Accrington;Republic of Ireland;1;28;63;175;68
Accrington;Slovakia;1;20;59;195;85
Accrington;St Lucia;1;23;62;183;75
Accrington;Wales;1;32;60;175;70
AD Alcorcón;Algeria;1;33;68;180;70
AD Alcorcón;Argentina;2;24;69.5;176;66
AD Alcorcón;Cameroon;1;26;69;189;89
AD Alcorcón;Montenegro;1;23;67;185;73
AD Alcorcón;Portugal;1;33;68;171;68
AD Alcorcón;Romania;1;27;66;176;73
AD Alcorcón;Serbia;1;25;72;190;81
AD Alcorcón;Spain;20;24.35;66.1;180.75;73.15
Adanaspor;Bosnia Herzegovina;1;20;67;195;86
Adanaspor;Brazil;8;25.75;70.25;179.875;76.25
Adanaspor;Cameroon;1;34;73;193;90
Adanaspor;Hungary;1;28;68;173;67
Adanaspor;Ivory Coast;1;30;67;186;80
Adanaspor;Senegal;1;26;74;179;73
Adanaspor;Turkey;17;22.6470588235294;63.2352941176471;180.176470588235;74.3529411764706
Adelaide United;Argentina;1;33;67;175;70
Adelaide United;Australia;19;23.2105263157895;60.3684210526316;182;77
Adelaide United;Italy;1;33;63;188;77
Adelaide United;Korea Republic;1;33;67;180;70
Adelaide United;Senegal;1;29;71;179;75
Adelaide United;Spain;2;31;68.5;169;67
Admira Wacker;Austria;25;22.92;60.96;181.44;74.12
Admira Wacker;FYR Macedonia;1;24;63;172;62
Admira Wacker;Spain;1;31;62;187;80
ADO Den Haag;Curacao;1;30;66;184;76
ADO Den Haag;DR Congo;1;26;67;184;77
ADO Den Haag;France;1;33;72;180;74
ADO Den Haag;Germany;2;25;66.5;186;77
ADO Den Haag;Ivory Coast;1;23;68;188;85
ADO Den Haag;Japan;1;29;70;194;81
ADO Den Haag;Lithuania;1;31;69;190;82
ADO Den Haag;Morocco;1;19;60;174;70
ADO Den Haag;Netherlands;20;23.15;64.45;181.25;73.6
ADO Den Haag;Suriname;1;28;67;185;82
AFC Wimbledon;Albania;1;19;54;177;78
AFC Wimbledon;England;23;25.304347826087;59.9565217391304;180.695652173913;74.8695652173913
AFC Wimbledon;Montserrat;1;27;67;188;79
AFC Wimbledon;Scotland;2;26.5;63.5;191;75
AFC Wimbledon;Wales;1;25;64;185;83
Águilas Doradas;Colombia;24;26.1666666666667;63.0833333333333;176.083333333333;71.2083333333333
Águilas Doradas;Paraguay;1;26;62;183;80
Águilas Doradas;Peru;1;32;65;172;67
Águilas Doradas;Uruguay;1;31;70;184;86
Águilas Doradas;Venezuela;1;24;60;183;78
AIK;Bosnia Herzegovina;1;26;62;187;90
AIK;Canada;1;37;59;188;80
AIK;Croatia;1;23;61;184;73
AIK;Eritrea;1;32;71;189;77
AIK;Finland;2;23.5;66;194;88
AIK;Iceland;1;25;66;187;79
AIK;Sweden;13;25.7692307692308;65.6923076923077;182.076923076923;76.3846153846154
AJ Auxerre;France;22;23.3181818181818;63.0454545454545;181.681818181818;73.4090909090909
AJ Auxerre;Georgia;1;20;58;172;68
AJ Auxerre;Guinea;1;23;70;185;77
AJ Auxerre;Mali;1;24;71;182;76
AJ Auxerre;Mauritania;1;23;67;179;73
AJ Auxerre;Poland;1;32;70;174;72
AJ Auxerre;Senegal;1;27;70;191;83
Ajax;Australia;1;17;59;176;70
Ajax;Brazil;1;20;72;177;74
Ajax;Burkina Faso;1;21;76;181;73
Ajax;Cameroon;1;20;76;190;82
Ajax;Colombia;2;19.5;72.5;185.5;77.5
Ajax;Czech Republic;1;19;70;182;68
Ajax;Denmark;2;24.5;76.5;181.5;78.5
Ajax;Germany;2;28;73.5;179;78
Ajax;Morocco;2;22;73.5;178.5;67.5
Ajax;Netherlands;17;21.3529411764706;70.1176470588235;181.294117647059;73.3529411764706
Ajax;South Africa;1;26;72;164;62
Akhisarspor;Albania;1;26;71;185;80
Akhisarspor;DR Congo;1;28;70;187;81
Akhisarspor;Ghana;1;26;71;178;67
Akhisarspor;Mali;1;27;70;183;75
Akhisarspor;Portugal;3;31;73.6666666666667;183.666666666667;79.3333333333333
Akhisarspor;Serbia;1;31;69;197;90
Akhisarspor;Slovenia;1;30;69;185;80
Akhisarspor;Sweden;2;28;71;176;75
Akhisarspor;Turkey;16;28.125;66.5625;180.25;73.875
Al Ahli;Egypt;1;31;72;170;71
Al Ahli;Greece;1;26;77;165;61
Al Ahli;Iraq;1;25;67;180;74
Al Ahli;Saudi Arabia;24;26.625;65.6666666666667;176.541666666667;71.875
Al Ahli;Syria;1;28;79;192;72
Al Batin;Brazil;4;29;65.75;175.5;72
Al Batin;Saudi Arabia;26;26.1538461538462;57.4615384615385;173.307692307692;64.8461538461538
Al Faisaly;Brazil;4;27;66;179.25;72.25
Al Faisaly;Croatia;1;27;58;176;70
Al Faisaly;Romania;1;30;66;186;78
Al Faisaly;Saudi Arabia;24;26.2083333333333;58.3333333333333;176;70.8333333333333
Al Fateh;Brazil;2;28;68.5;180;74
Al Fateh;Portugal;1;29;73;176;74
Al Fateh;Saudi Arabia;26;26.7307692307692;59.8461538461538;175.769230769231;69.6538461538462
Al Fateh;Tunisia;1;25;67;184;71
Al Hilal;Brazil;2;25;75;184.5;75
Al Hilal;Saudi Arabia;25;26.64;66.44;177.52;70.72
Al Hilal;Syria;1;23;72;184;76
Al Hilal;Uruguay;1;24;67;183;75
Al Ittihad;Chile;1;31;75;173;73
Al Ittihad;Egypt;1;22;73;182;76
Al Ittihad;Kuwait;1;30;69;195;73
Al Ittihad;Saudi Arabia;26;25.2692307692308;63.1538461538462;175.230769230769;68.3076923076923
Al Ittihad;Tunisia;1;28;68;185;80
Al Khaleej;Brazil;1;30;68;190;88
Al Khaleej;Guinea;1;27;71;189;86
Al Khaleej;Mauritania;1;25;59;174;61
Al Khaleej;Saudi Arabia;26;25.3461538461538;58.7307692307692;178.307692307692;70.4230769230769
Al Khaleej;Senegal;1;27;67;194;80
Al Nassr;Brazil;1;25;72;186;83
Al Nassr;Croatia;2;28;66.5;177.5;72.5
Al Nassr;Paraguay;1;29;73;177;70
Al Nassr;Saudi Arabia;25;26.44;63.6;177.8;70.28
Al Qadisiyah;Brazil;3;25.3333333333333;70;169.666666666667;71.6666666666667
Al Qadisiyah;Nigeria;1;24;68;186;78
Al Qadisiyah;Saudi Arabia;26;24.2307692307692;60.2692307692308;176;69.9230769230769
Al Raed;Brazil;3;29.6666666666667;66.6666666666667;184;74.3333333333333
Al Raed;Guinea;1;32;69;174;75
Al Raed;Saudi Arabia;26;24.7307692307692;59.3846153846154;177.038461538462;72.3461538461538
Al Shabab;Algeria;2;27;67;185.5;84.5
Al Shabab;Kuwait;1;27;71;176;69
Al Shabab;Saudi Arabia;27;24.7037037037037;61.8518518518519;175.888888888889;67.3333333333333
Al Taawoun;France;1;25;61;179;67
Al Taawoun;Morocco;1;32;73;183;84
Al Taawoun;Portugal;1;28;67;190;80
Al Taawoun;Romania;1;37;74;176;70
Al Taawoun;Saudi Arabia;24;26.0833333333333;59.6666666666667;176.25;69.5833333333333
Al Taawoun;Syria;1;34;72;168;63
Al Wehda;Egypt;2;27;64.5;177;76.5
Al Wehda;Ghana;1;26;65;160;57
Al Wehda;Saudi Arabia;25;26.32;59.6;176.88;70.88
Al Wehda;Uruguay;1;26;65;176;69
Al. Petrolera;Argentina;1;25;64;183;75
Al. Petrolera;Colombia;25;24.08;62.92;178.04;72.16
Al. Petrolera;Guatemala;1;31;73;192;85
Al. Petrolera;Mexico;1;28;64;173;70
Albirex Niigata;Brazil;3;24;65.3333333333333;176.333333333333;69.3333333333333
Albirex Niigata;Japan;25;26.36;58.16;180.04;74.88
Albirex Niigata;Korea Republic;1;23;54;190;83
Albirex Niigata;Peru;1;29;52;177;73
Al-Ettifaq;Bolivia;1;29;62;178;74
Al-Ettifaq;Burkina Faso;1;30;68;172;74
Al-Ettifaq;Cameroon;1;26;68;193;85
Al-Ettifaq;Saudi Arabia;23;23.9565217391304;58.6521739130435;176.173913043478;69.8695652173913
Al-Ettifaq;Spain;1;30;66;178;70
América;Argentina;3;29.3333333333333;76.3333333333333;182.666666666667;84
América;Brazil;1;30;70;175;72
América;Colombia;1;29;73;166;66
América;Ecuador;2;27.5;73;175.5;76.5
América;Mexico;17;24;64.4705882352941;175.529411764706;70.8823529411765
América;Paraguay;4;23.5;69.25;178.75;74.75
Amiens SC;Benin;1;31;66;181;70
Amiens SC;Cameroon;1;32;64;185;79
Amiens SC;DR Congo;1;23;63;177;71
Amiens SC;FIFA16_NationName_215;1;28;64;182;74
Amiens SC;France;19;25.7368421052632;63.1052631578947;180.947368421053;76.4736842105263
Amiens SC;Guinea;1;30;67;179;78
Amiens SC;Ivory Coast;1;24;68;185;77
Amiens SC;Morocco;1;26;67;181;73
Amkar Perm;Belarus;1;29;67;176;70
Amkar Perm;Bulgaria;1;31;69;180;70
Amkar Perm;Croatia;1;28;68;186;81
Amkar Perm;Guinea;1;23;65;190;89
Amkar Perm;Nigeria;1;29;73;181;86
Amkar Perm;Poland;1;31;71;182;77
Amkar Perm;Russia;13;27.1538461538462;64.3076923076923;182.923076923077;78.7692307692308
Amkar Perm;Serbia;2;25.5;65.5;181.5;75
Amkar Perm;Ukraine;2;28;63.5;185;81
Angers SCO;Algeria;1;27;67;193;84
Angers SCO;Cameroon;1;24;74;183;70
Angers SCO;Congo;1;28;65;193;85
Angers SCO;Croatia;1;26;67;194;81
Angers SCO;France;20;25.15;68.5;181.4;74
Angers SCO;Ivory Coast;3;25.6666666666667;70;181.333333333333;75.6666666666667
Angers SCO;Nigeria;1;30;68;187;85
Angers SCO;Senegal;3;29;73.3333333333333;184.666666666667;81
Angers SCO;Serbia;1;28;71;186;80
Angers SCO;Tunisia;1;30;73;182;75
Antalyaspor;Belgium;1;27;70;173;72
Antalyaspor;Bosnia Herzegovina;1;26;63;190;80
Antalyaspor;Brazil;4;29.75;74;181.75;74.25
Antalyaspor;Cameroon;3;32.3333333333333;74;177.333333333333;72.3333333333333
Antalyaspor;Czech Republic;1;27;72;186;80
Antalyaspor;Ivory Coast;1;19;63;185;70
Antalyaspor;Liberia;1;27;59;185;74
Antalyaspor;Morocco;1;28;73;174;84
Antalyaspor;Slovenia;1;34;68;191;90
Antalyaspor;Switzerland;1;20;57;185;78
Antalyaspor;Turkey;15;24.7333333333333;65.0666666666667;181.8;75.2
Anzhi Makhachkala;Brazil;1;29;76;194;84
Anzhi Makhachkala;Costa Rica;1;25;64;189;87
Anzhi Makhachkala;France;1;30;71;191;92
Anzhi Makhachkala;Iran;1;20;65;190;78
Anzhi Makhachkala;Russia;23;25.8695652173913;65.7826086956522;182.565217391304;75.9565217391304
Anzhi Makhachkala;Ukraine;3;24.3333333333333;66;190.666666666667;78.6666666666667
Arka Gdynia;Austria;1;26;62;181;76
Arka Gdynia;Brazil;1;33;62;182;72
Arka Gdynia;Congo;1;27;62;172;70
Arka Gdynia;Croatia;1;30;65;186;80
Arka Gdynia;Georgia;1;21;60;178;74
Arka Gdynia;Latvia;1;31;66;191;81
Arka Gdynia;Poland;18;26.7777777777778;61.9444444444444;182.944444444444;79.3888888888889
Arka Gdynia;Slovakia;1;32;64;175;71
Arminia Bielefeld;Austria;1;25;66;187;79
Arminia Bielefeld;France;1;32;66;174;70
Arminia Bielefeld;Germany;24;26;65.4166666666667;184.041666666667;80.0416666666667
Arminia Bielefeld;Iran;1;29;67;192;90
Arminia Bielefeld;Poland;1;26;65;182;84
Arouca;Angola;1;32;73;176;75
Arouca;Brazil;9;27.1111111111111;68.5555555555556;181;75.4444444444444
Arouca;Cape Verde;1;27;73;181;63
Arouca;Guinea Bissau;2;25.5;69;179;71
Arouca;Paraguay;1;21;73;185;79
Arouca;Portugal;10;25.8;67.3;181.4;75.6
Arouca;Turkey;1;28;69;190;79
Arouca;Venezuela;2;24;64.5;183;76.5
Arsenal;Argentina;1;24;69;193;85
Arsenal;Brazil;1;26;79;185;72
Arsenal;Chile;1;28;88;169;62
Arsenal;Colombia;1;28;79;183;80
Arsenal;Czech Republic;1;34;88;196;90
Arsenal;Egypt;1;24;77;180;70
Arsenal;England;10;22.5;69.6;180.9;71
Arsenal;France;6;26.6666666666667;76.5;184.5;77
Arsenal;Germany;3;28;85;187.333333333333;82.6666666666667
Arsenal;Netherlands;1;18;63;180;75
Arsenal;Nigeria;1;20;74;180;75
Arsenal;Spain;4;28.25;81.75;176.25;71.25
Arsenal;Switzerland;1;24;82;185;82
Arsenal;Wales;1;26;83;183;76
Arsenal Tula;Argentina;1;25;65;194;83
Arsenal Tula;Bulgaria;2;28;70;182.5;76
Arsenal Tula;Colombia;1;22;71;187;80
Arsenal Tula;Georgia;1;27;68;190;85
Arsenal Tula;Mali;1;22;69;173;68
Arsenal Tula;Romania;1;31;68;176;74
Arsenal Tula;Russia;22;27.1818181818182;63.8181818181818;181.409090909091;75.9545454545455
Arsenal Tula;Zambia;1;27;72;189;80
AS Monaco;Argentina;1;25;74;191;87
AS Monaco;Belgium;2;17;61.5;171.5;60.5
AS Monaco;Brazil;4;22.25;75.75;182;69.5
AS Monaco;Central African Rep.;1;22;61;178;71
AS Monaco;Colombia;1;31;82;177;72
AS Monaco;Croatia;1;32;84;191;84
AS Monaco;DR Congo;1;20;58;177;69
AS Monaco;France;13;21.3076923076923;71;179.692307692308;71.1538461538462
AS Monaco;Ghana;1;21;62;175;65
AS Monaco;Italy;2;36;77;188.5;82
AS Monaco;Mali;1;20;71;183;72
AS Monaco;Morocco;1;31;76;187;82
AS Monaco;Poland;1;29;84;190;80
AS Monaco;Portugal;2;26;82.5;171.5;62.5
AS Monaco;Senegal;1;21;62;192;80
AS Nancy;Belarus;1;29;70;187;86
AS Nancy;Cameroon;1;31;72;184;79
AS Nancy;France;17;26.3529411764706;67;180.647058823529;73.6470588235294
AS Nancy;Ivory Coast;1;22;66;165;65
AS Nancy;Mauritania;1;27;70;181;76
AS Nancy;Morocco;3;29.6666666666667;71;182;73
AS Nancy;Senegal;2;26;70;177.5;68.5
AS Nancy;Uruguay;1;21;67;186;75
AS Saint-Étienne;France;19;26.1578947368421;72.6315789473684;181.157894736842;77.6315789473684
AS Saint-Étienne;Guinea;1;26;77;189;93
AS Saint-Étienne;Ivory Coast;1;21;55;181;76
AS Saint-Étienne;Morocco;1;23;74;177;80
AS Saint-Étienne;Norway;2;25.5;72.5;187;81.5
AS Saint-Étienne;Portugal;1;21;70;169;68
AS Saint-Étienne;Senegal;2;27;75.5;179;76.5
AS Saint-Étienne;Slovenia;1;25;76;188;83
AS Saint-Étienne;Switzerland;1;25;72;197;92
Aston Villa;Australia;2;26.5;67;183;74
Aston Villa;Belgium;1;28;73;186;77
Aston Villa;Curacao;1;25;73;187;77
Aston Villa;Czech Republic;1;27;72;193;82
Aston Villa;England;16;23.625;67.25;182.0625;77.8125
Aston Villa;France;1;23;75;176;70
Aston Villa;Ghana;1;29;74;182;74
Aston Villa;Iceland;1;28;75;182;75
Aston Villa;Ivory Coast;1;27;76;189;77
Aston Villa;Montenegro;1;19;55;181;73
Aston Villa;Republic of Ireland;1;26;73;181;62
Aston Villa;Scotland;1;32;72;185;73
Aston Villa;Wales;2;28;75;178;77
Atalanta;Albania;1;28;78;194;92
Atalanta;Argentina;1;29;82;165;68
Atalanta;Bosnia Herzegovina;1;30;75;189;85
Atalanta;Brazil;1;26;75;185;75
Atalanta;Ecuador;1;20;69;182;72
Atalanta;France;2;31;75;178;71
Atalanta;Italy;15;24.6666666666667;70.8666666666667;183;76.2666666666667
Atalanta;Ivory Coast;2;19;69;181.5;75.5
Atalanta;Netherlands;1;23;71;187;74
Atalanta;Senegal;1;31;74;181;74
Atalanta;Serbia;1;24;70;190;87
Atalanta;Slovenia;1;28;75;186;88
Atalanta;Switzerland;1;24;73;181;77
Athletic Bilbao;France;1;22;84;189;85
Athletic Bilbao;Spain;27;26.1111111111111;75.2962962962963;182.111111111111;76.2592592592593
Atl. Nacional;Argentina;2;27;70.5;181.5;80
Atl. Nacional;Colombia;25;27.68;68.96;180.72;76.56
Atl. Nacional;Paraguay;1;24;65;186;85
Atl. Paranaense;Brazil;20;30;69.35;180.2;75.55
Atlas;Argentina;2;31;73;174.5;75
Atlas;Colombia;2;24.5;72;187;78.5
Atlas;Ecuador;1;27;74;180;77
Atlas;Ghana;1;22;67;163;55
Atlas;Mexico;23;24.2173913043478;64.2173913043478;176.695652173913;70.6521739130435
Atlas;Uruguay;1;23;65;174;70
Atlético Bucaramanga;Bolivia;1;28;64;176;75
Atlético Bucaramanga;Colombia;23;25.6086956521739;65.0869565217391;179.130434782609;73.2608695652174
Atlético Bucaramanga;Panama;1;32;69;183;82
Atlético Huila;Argentina;2;29;63.5;187;81
Atlético Huila;Colombia;24;24.2916666666667;60.875;180.25;74.2916666666667
Atlético Huila;Uruguay;2;31;66.5;172.5;74
Atlético Madrid;Albania;1;19;62;174;72
Atlético Madrid;Argentina;3;27;81.3333333333333;174.666666666667;69.6666666666667
Atlético Madrid;Belgium;1;23;84;180;66
Atlético Madrid;Brazil;2;25;75.5;179.5;73.5
Atlético Madrid;Croatia;1;25;79;182;76
Atlético Madrid;France;3;25.3333333333333;82.3333333333333;177.333333333333;70.6666666666667
Atlético Madrid;Ghana;1;23;76;185;73
Atlético Madrid;Italy;1;29;75;180;78
Atlético Madrid;Montenegro;1;26;82;186;73
Atlético Madrid;Portugal;2;28;75.5;189;78
Atlético Madrid;Slovenia;1;24;87;189;87
Atlético Madrid;Spain;11;25.9090909090909;72.9090909090909;181.636363636364;74.3636363636364
Atlético Madrid;Uruguay;3;23.6666666666667;77.6666666666667;183.333333333333;75.3333333333333
Atlético Mineiro;Brazil;20;27.4;67.4;180.15;75
Atlético Tucumán;Argentina;24;27.2083333333333;67.1666666666667;178.458333333333;74.8333333333333
Atlético Tucumán;Colombia;2;26.5;66;181.5;72.5
Atlético Tucumán;Paraguay;1;31;69;183;81
Audax Italiano;Argentina;4;27;67;180.75;80
Audax Italiano;Brazil;1;22;65;180;77
Audax Italiano;Chile;20;25.3;64.05;175.95;73.65
Audax Italiano;Colombia;1;24;57;169;63
Austria Wien;Austria;17;22.6470588235294;62.5882352941176;183.294117647059;77.3529411764706
Austria Wien;Brazil;2;21.5;67;171;64
Austria Wien;Croatia;3;27;61.6666666666667;182;79.3333333333333
Austria Wien;Denmark;1;26;67;180;74
Austria Wien;Ghana;1;21;57;181;76
Austria Wien;Libya;1;23;64;169;64
Austria Wien;Nigeria;1;23;69;174;65
Austria Wien;Spain;1;32;66;175;66
Avaí;Brazil;20;29.2;66.8;181.35;76.1
Avellino;Albania;1;24;66;190;83
Avellino;Belgium;1;21;60;177;72
Avellino;Ghana;1;21;62;172;70
Avellino;Guinea;1;20;64;175;71
Avellino;Guinea Bissau;1;24;55;177;74
Avellino;Italy;16;27.125;64.75;183.5625;76.875
Avellino;Morocco;1;26;62;168;63
Avellino;Serbia;1;20;65;194;90
Avellino;Slovakia;1;24;66;184;75
Avellino;Uruguay;1;29;69;184;79
Avispa Fukuoka;Brazil;1;29;67;186;89
Avispa Fukuoka;Colombia;1;30;61;185;80
Avispa Fukuoka;Japan;22;27;58.8181818181818;176.909090909091;72
Avispa Fukuoka;Korea Republic;1;25;62;184;77
Aytemiz Alanyaspor;Brazil;1;32;78;171;72
Aytemiz Alanyaspor;Chile;1;28;74;181;78
Aytemiz Alanyaspor;Czech Republic;1;31;66;193;92
Aytemiz Alanyaspor;DR Congo;1;26;70;178;74
Aytemiz Alanyaspor;Ghana;2;23;66.5;187.5;83
Aytemiz Alanyaspor;Greece;1;29;73;183;86
Aytemiz Alanyaspor;Guinea;1;26;68;172;67
Aytemiz Alanyaspor;Haiti;1;27;71;175;72
Aytemiz Alanyaspor;Morocco;1;28;70;174;70
Aytemiz Alanyaspor;Netherlands;1;29;69;194;84
Aytemiz Alanyaspor;Nigeria;1;23;72;185;83
Aytemiz Alanyaspor;Portugal;1;29;72;177;78
Aytemiz Alanyaspor;Senegal;1;27;69;181;74
Aytemiz Alanyaspor;Serbia;1;22;68;185;80
Aytemiz Alanyaspor;Spain;1;32;66;184;82
Aytemiz Alanyaspor;Turkey;14;25.3571428571429;63.5714285714286;179.214285714286;72.6428571428571
AZ;Belgium;1;27;73;183;77
AZ;Greece;1;20;65;181;80
AZ;Iran;1;23;74;180;75
AZ;Morocco;1;24;73;173;72
AZ;Netherlands;19;23.5263157894737;68.7368421052632;183.052631578947;75.9473684210526
AZ;Nigeria;1;21;69;186;79
AZ;Norway;1;24;74;170;70
AZ;Sweden;2;23.5;70;176.5;70
AZ;Trinidad & Tobago;1;19;67;180;72
AZ;Uruguay;1;24;71;190;82
Bahía Blanca;Argentina;26;25.0384615384615;61.7307692307692;178.884615384615;76.2307692307692
Bahía Blanca;Colombia;1;24;64;180;86
Bahía Blanca;Paraguay;1;26;65;178;81
Bahía Blanca;Uruguay;2;27.5;66;179;81.5
Banfield;Argentina;28;25.0357142857143;64.7857142857143;179.142857142857;76.3214285714286
Banfield;Colombia;1;20;62;185;76
Bari;Albania;1;30;71;180;72
Bari;Brazil;1;28;74;183;73
Bari;Czech Republic;1;19;63;188;80
Bari;France;1;20;54;178;75
Bari;Greece;1;35;75;193;78
Bari;Italy;18;27.2222222222222;68.6111111111111;180.833333333333;74.6111111111111
Bari;Montenegro;1;23;70;188;75
Bari;Slovakia;1;22;69;173;68
Bari;Switzerland;2;25;67.5;182.5;70
Barnet;DR Congo;1;21;59;180;70
Barnet;England;20;24.2;55.95;184.45;76.35
Barnet;France;1;29;63;191;87
